STUDY_ID	SAMPLE_ID	CD274
blca_tcga	TCGA-DK-A3WW-01	9.7709
blca_tcga	TCGA-FJ-A3Z7-01	0.5683
blca_tcga	TCGA-FJ-A3ZE-01	-0.421
blca_tcga	TCGA-FJ-A3ZF-01	-0.3662
blca_tcga	TCGA-GC-A3YS-01	-0.163
blca_tcga	TCGA-GU-A42R-01	-0.3617
blca_tcga	TCGA-GV-A3QK-01	-0.2863
blca_tcga	TCGA-GV-A40E-01	0.7699
blca_tcga	TCGA-GV-A40G-01	-0.4019
blca_tcga	TCGA-K4-A3WU-01	-0.2502
blca_tcga	TCGA-BT-A42E-01	-0.0862
blca_tcga	TCGA-BT-A42F-01	0.0744
blca_tcga	TCGA-CF-A47S-01	-0.3707
blca_tcga	TCGA-CF-A47T-01	-0.4261
blca_tcga	TCGA-CF-A47V-01	-0.3735
blca_tcga	TCGA-CF-A47W-01	-0.412
blca_tcga	TCGA-CF-A47X-01	-0.3763
blca_tcga	TCGA-CF-A47Y-01	-0.4083
blca_tcga	TCGA-FD-A43N-01	-0.2982
blca_tcga	TCGA-FD-A43P-01	0.0497
blca_tcga	TCGA-FD-A43S-01	-0.3919
blca_tcga	TCGA-FD-A43U-01	-0.3671
blca_tcga	TCGA-FD-A43X-01	-0.4067
blca_tcga	TCGA-GU-A42P-01	-0.3978
blca_tcga	TCGA-GU-A42Q-01	-0.4099
blca_tcga	TCGA-E7-A4IJ-01	-0.392
blca_tcga	TCGA-E7-A4XJ-01	-0.4292
blca_tcga	TCGA-E7-A519-01	-0.4135
blca_tcga	TCGA-E7-A541-01	-0.3548
blca_tcga	TCGA-FD-A43Y-01	-0.1274
blca_tcga	TCGA-FD-A5BR-01	-0.3568
blca_tcga	TCGA-FD-A5BS-01	0.7897
blca_tcga	TCGA-FD-A5BT-01	0.1163
blca_tcga	TCGA-FD-A5BU-01	0.3297
blca_tcga	TCGA-FD-A5BV-01	-0.3886
blca_tcga	TCGA-FD-A5BX-01	-0.3503
blca_tcga	TCGA-FJ-A3Z9-01	-0.3773
blca_tcga	TCGA-GC-A4ZW-01	0.613
blca_tcga	TCGA-HQ-A2OF-01	-0.41
blca_tcga	TCGA-HQ-A5ND-01	-0.3987
blca_tcga	TCGA-K4-A4AC-01	-0.3176
blca_tcga	TCGA-K4-A54R-01	0.7116
blca_tcga	TCGA-MV-A51V-01	-0.4004
blca_tcga	TCGA-CF-A5U8-01	-0.421
blca_tcga	TCGA-CF-A5UA-01	-0.4266
blca_tcga	TCGA-CU-A5W6-01	-0.3649
